data_type,AdaBoostClassifier,BernoulliNB,DecisionTreeClassifier,GradientBoostingClassifier,KNeighborsClassifier,LinearSVC,MultinomialNB,NearestCentroid,PassiveAggressiveClassifier,Perceptron,RandomForestClassifier,RidgeClassifier,SGDClassifier
all,0.7178550348714445,0.7661366792447667,0.7603088318453842,0.7227114767027231,0.7092153636680192,0.7898647661359113,0.7582226368014153,0.6891478944919694,0.7883782616030982,0.7729426185173902,0.7635250323390594,0.7859661760716118,0.7511856121661283
charcs,0.7806601392354305,0.6876197789549309,0.7614373193936731,0.7960312132669595,0.6947068746263723,0.7995236049556823,0.7042899501188316,0.7028944126299447,0.7918391836179288,0.7762098541813088,0.7430006941054907,0.7910951583097552,0.7915859227160392
charcs_desc,0.7209193798198675,0.6881751673049981,0.7198436081743487,0.7298663202101346,0.6497381050651142,0.7474695873028192,0.6825540647040026,0.6899504879352701,0.7476727283046438,0.7268227870359991,0.7157332779839187,0.7431000154319527,0.7461994256794908
charcs_desc_source,0.7324166413804406,0.7045927297161628,0.7162780312257893,0.7384306244314861,0.634637989702897,0.7557157756767505,0.7144182509285822,0.706712735284971,0.7453829391718554,0.7410912998637791,0.7198565777881497,0.753187991276107,0.7580066773224732
charcs_desc_title,0.7237892156049445,0.7732380133768614,0.7772218920390075,0.7274769962608048,0.7160905961696272,0.8014803461091851,0.763309184779996,0.6997937115300342,0.7985194126337853,0.7866513408871747,0.7776664474437583,0.7987148483190942,0.7575600923978051
charcs_source,0.7608918600269851,0.6950515829226649,0.7160246034758988,0.7655440684281464,0.6442252622628991,0.7631759711721781,0.7121594566806682,0.7162459772196288,0.7535396813188829,0.745949970173482,0.7142052700320011,0.7562648626823418,0.7723866892328423
charcs_source_title,0.7439413626633139,0.7861560084491586,0.7755110090519814,0.7415255611810235,0.7034973896656034,0.8133896712283383,0.7838389952673405,0.7121897231044493,0.8095645889744283,0.7897331903979244,0.7851656253789944,0.8087322425643849,0.7795945960071201
charcs_title,0.7425979139093358,0.7831512618974756,0.8002056376255764,0.7437157723691975,0.7007812758133584,0.8203040456713152,0.7762471754017302,0.7055428582318396,0.8180287775275061,0.8025419094357685,0.7895479701037746,0.8138455586666917,0.7812878753581564
desc,0.6665930022884229,0.6320928900618265,0.6700527645177011,0.6845159597822186,0.6057574436704921,0.6838724361558853,0.6358883961181894,0.6577119851129168,0.6949818243758507,0.6749767202307837,0.666941993449648,0.6848487367695383,0.6808369849322092
desc_source,0.6912687545039615,0.6849217406103311,0.6385231830317406,0.6915706739840413,0.6223756420737071,0.7016418461190066,0.6765965876407886,0.6806216759618392,0.6994273057259046,0.6910974699869411,0.6449034642283165,0.7009783019502068,0.7145945457298936
desc_source_title,0.6973324809489168,0.7598886754151568,0.7472496958893856,0.7015171015859007,0.6828252426911513,0.7762594596160501,0.7579846332941688,0.6807019502353923,0.7790837945434572,0.7686889670648159,0.7487436121191712,0.7791788696827361,0.7437311881943589
desc_title,0.7139543172709182,0.7628176280847803,0.7686316199635888,0.7127882809345157,0.7078909793673256,0.78350866143884,0.756218326027125,0.6914417555474255,0.7861031360219753,0.7720987908675894,0.7736220551242488,0.7815399419437472,0.7560643573216536
source,0.705127853360314,0.6580372250556354,0.6285044677909558,0.6999699818736063,0.5568308454479868,0.6785597968385841,0.6491036356956162,0.6727098518144339,0.6780145384300891,0.6752141406091584,0.6466064547788709,0.6764921198315265,0.6883220330463257
source_title,0.7167330740129706,0.7697728774654348,0.7612002168609447,0.7173065109751022,0.7042851095249508,0.7919919162924497,0.7658730817557322,0.6868043641669134,0.7948734201379614,0.7782962342507308,0.7689196861185613,0.7878110822912124,0.7648319818340958
title,0.7346574233259345,0.7997832796609382,0.8105585807326299,0.7369935534564002,0.7297791501327702,0.8218564032577568,0.7907426578655888,0.7080211396732513,0.8246019204237965,0.8073685941832798,0.8110909769097895,0.8198568661426421,0.7944237029981902
