text,label
SAMPLE 5;	Replicate 1 of 4.,pert
replicate 1;	LICR_HN2_PBS2,ctrl
"Winnie mouse is a C57BL/6 strain from a N-ethyl-N-nitrosourea (ENU)-treated C57BL/6 founder line. It carries a unique missense mutation (G9492A, Accession AJ511872) resulting in a cysteine to tyrosine substitution in the D3-domain at the N-terminus of Mucin2 (Muc2).",pert
wild type mice TMJ-cartilage;	miosge_WT_Tal4_20110623_(MoGene-1_0-st-v1).rma-gene-default.chp;	miosge_WT_Tal4_20110623_(MoGene-1_0-st-v1).CEL,ctrl
Rats were sacrificed six hours after the injection with methylprednisolone,pert
Replicate 1;	6303256037_G,pert
SAMPLE 4;	replicate 1,pert
"Gene expression data from Vehicle treated, DAY 6, biological rep.2, MV4-11 cells",ctrl
shCHK2-2_3,pert
Sample name: OLD-Wt_NR-21;	Streptavidin-Cy3 bound to biotin-labeled cRNA.,pert
"a time series of ConA injections was administered and  20 mg/kg ConA was injected through the mouse caudal vein at one of 4 time points (0 hr, 1 hr, 3 hr, 6 hr),here is  hepatic gene expression at ""1 hr"" (rep1)",pert
sample of actinic keratoses (ak_09+15):;	Keywords = Non-melanoma skin cancer;	Keywords = cDNA-microarray;	Keywords = expression profiling;	Keywords = expressed sequence tag (EST),pert
Pre-frontal cortex of male c57Bl/6 mice,ctrl
"HIV seropositive drug naïve group, viral load low;	Keywords = HIV, Human, PBMC, in vivo",pert
Hepatocitos.KO-2,pert
AML_15,pert
"Polyamide 1 treated LNCaP cells not stimulated with DHT, biological replicate 1",ctrl
PBMCs from Crohn's Disease subject;	Subject Disease : Crohn's Disease;	Subject Age : 56;	Subject Race : CAUCASIAN;	Subject Gender : FEMALE,pert
Gene expression data from endocrine resistant breast cancer cell line LY4,pert
Gene expression data from the heterozygous FH participant F,pert
"YFP+ cells marking precardiac mesoderm were FACS-sorted (w/wo stabilized Beta-catenin), and their total RNA was isolated, amplified and labeled with the NUGENE pico kit for microarray analyses. Mutant samples were obtained from YFP+ cells isolated from embryos with Isl1-cre, Rosa-YFP, Beta-catenin (loxP ex3). The mutants are conditional knockout mouse embryos that activates stable Beta-catenin in cardiac progenitors.",ctrl
"Diabetic (STZ) rats were maintained during 5-6 weeks, without observing any variation in its hyperglycaemia;	Keywords = pancreas regeneration;	Keywords = STZ;	Keywords = diabetes;	Keywords = tungstate;	Keywords = insulin-like agents;	Keywords = beta cell plasticity;	Keywords = neogenesis",pert
Gene expression data from HaCaT cells at day 12 of calcium induced in-vitro differentiation,pert
Gene expression of -PancreaticSample14-Normal,ctrl
WT1(-KTS) expression was induced for 4hrs and the expression profile of each time-points was compared to the uninduced sample (0 hr).,ctrl
Gene expression data from A673 cell line that has been treated with Doxorubicin for 3 days with concentration of 119.76 nM (2 x EC50).,pert
The mRNA was collected from control rat liver (Sham),ctrl
Replicate 3 GFP,ctrl
untreated; biological replicate 1,ctrl
"Transgenic for alpha tropomyosin slow, snap frozen, tibialis anterior muscle, 7month age animal",pert
D2-265-11M-T,pert
S3A,ctrl
Sample 23,pert
SAMPLE 5;	replicate 2,ctrl
"embryo at P14, biological rep2",pert
Affymetrix;	GeneChip Expression Analysis;	Technical manual;	Rev 3,ctrl
Replicate 3;	7196763032_E,pert
liver_Wt_female_35wk_rep1,ctrl
GC_Gene1-0ST_GES12_38552_430-CNX-120323-24-39295_1.CEL,ctrl
pass 3 primary mefs,ctrl
RE1_H8_1389_U133Plus2.0.CEL;	Gene expression data from human breast cancer,pert
Gene expression data from 14dpp Ubb knockout testis.,pert
SMhu033;	Gene expression data from cultured ovarian cancer cell line.,ctrl
"Mice_c-myc trans, biological rep4",pert
Macro-dissected renal cystic epithelial tissue from Fh1 knockout mouse,pert
"THP-1 cell line infected with GSK3B Construct 1 shRNA, biological rep2;	Sample name: THP1_GSK3B_1-2;	CREME_p_KimSteg_June10_96HT_HT_HG-U133A_96-HTA_B08_596590.CEL",pert
C3H-HeJ mice were exposed to ozone. Lungs were removed-frozen in liquid nitrogen-RNA extraction.;	Lot batch =  ,pert
Normoxic untreated control for evaluation of hypoxic response in hepatocytes,pert
US10053769_251485060532_S01_GE1_107_Sep09_1_2,ctrl
"C57BL/6J Acute morphine treated, striatum, biological replicate 3",pert
Pan21.CEL (unavailable due to loss from servers);	Pancreatic Tumor,pert
"Stage IVB, T3, N3, , G4",pert
gene expression data from primary fibroblasts expressing shRNA targeting KDM4C or a control constuct,pert
Gene expression data from paired samples of carotid atheroma plaque and macroscopically intact tissue;	JLI_41,ctrl
AML_74,ctrl
"corresponds to sample Hu1 in table 1;	Gene expression data from whole biopsies, primary mucosal tissue",ctrl
KM-02,ctrl
Cells known to possess both estrogen and progesterone receptors.;	vLow_8h_1,pert
"06_21_04 TP-9: HeLa cells were transfected with siRNA 48 hrs prior to heat shock.  At time=0 HeLa cells were placed in a 43C incubator for 1.5 hrs, at the indicated time points RNA was harvested and Affymetrix microarrays were run.",pert
08-34_ACCX5M1;	Gene expression data from human adenoid cystic carcinoma xenograft.,pert
Gene expression data from HDAC1 knock out mouse embryonic stem cells,pert
Gene expression of -PancreaticSample4-Normal,ctrl
"Please refer to Lilly et al., Am J Respir Crit Care Med. 2005 Mar 15;171(6):579-86",ctrl
S25 NLS 142Q TG3	F4/34	S25	NLS Htt exon 1 142Q	Mouse	3 months	Cerebellum	Male,pert
"ES cells were transfected with either vector, SRFdM-VP16 control or SRF-VP16 expression plasmids. RNA was harvested 72 hours after transfection. Each experimental condition was performed in duplicate.",pert
Chronic Myelogenous Leukemia;	type: accelerated phase;	blast count: 1;	Center code: 1;	Note: Center code == 5 not used for disease phase analysis;	imatinib analysis: 0,pert
