text,label
prostate from PB-NICD model,pert
EB_0_5d_62_Formaldehyde_RatNasal_Rat230_2_CIIT05024,ctrl
NME2 induced A549 cell,pert
peripheral blood cell,pert
Colonic mucosal endoscopic pinch biopsy,pert
"n22, surgically resected from patient of gastric cancer.",ctrl
"Polyamide 1 treated LNCaP cells not stimulated with DHT, biological replicate 1",ctrl
Lacrimal Gland,pert
A2CKO1,pert
triplicate 2 of S. aureus infected HepG2 HIF-1-/- cells,pert
57A;pretreatment;female;breast tumor,ctrl
c-Met KO CD9+ trophoblasts,pert
HOX424 Control Day1,ctrl
"wild type naïve CD4 positive cell, TCR-stimulated, replicate 4",ctrl
"whole-blood leukocytes, etanercept, 0hr",pert
A2CKO2,pert
RNA from microdissected breast cancer cells from case 651 labeled with Cy5,pert
liver_Wt_female_35wk_rep1,ctrl
heart,ctrl
PancreaticSample30-Normal,ctrl
Mouse otic vesicle at E10.5 wt,ctrl
C57BL/6J Mouse Male Kidney,ctrl
quadriceps muscle tissue of normal controls,ctrl
Asp14 Clone of Ewing's sarcoma A673 cell line with doxycyclin  inducible EWS-FLI1 knockdown construct,pert
T178,pert
PBMC of Rhesus Macaque Mnk_3133-S-7,pert
lymphoblast cell line,ctrl
"Lymphoblastoid cell lines derived from family 1743, member 2",pert
BM single-cell suspensions from bone fragments and aspirates were used to establish non-clonal BMSC cultures from normal donors (N-BMSCs),ctrl
gonadal WAT of five Fsp27 knockout mice,pert
"PDAC, sample 3",pert
Olfactory mucosa,pert
"amniocytes, euploid, 1565",ctrl
Cervical cancer_1434T,pert
after 30 days intervention with resveratrol,pert
Common Reference 2 round amplification 2 ug,pert
Gallbladder- leptin treated,ctrl
Gene expression profiling of clear-cell renal cell carcinoma (ccRCC) tumor of patient T165,pert
"PC-3 cells, 60μM gefitinib (Gef), 24h",pert
"Rb null MEFs with cisplatin treatment (16microM, 24hrs)",pert
human preadipocytes+oligo1_day6_rep2,pert
12_2 cells with Tetracycline-repressible WT1(-KTS) expression,pert
Cervical cancer tissue,pert
NOMO-1 acute myeloid leukemia cells,pert
"Lox control liver, ad lib, 4:00pm",ctrl
"Ishikawa cell line, BPA, 10nM, 8hr",pert
EB_0_8d_65_HCHO_Nasal_Rat230_2_CIIT05024,ctrl
"Hippocampus, soman, 72h",pert
Kidney,ctrl
PDAC_T_123,pert
whole uterus,ctrl
"Frontal Cerebrocortex, permethrin (10mg/kg), 6 hours",pert
"Tracheal explants, Dex, 2hr",pert
Ing1 knockout embryo MEF cells,pert
"Sodium arsenite added to food: None; Injection: None; Diet: AIN-76A; Sodium arsenite added to drinking water: 100 ppb, 5wk",pert
HEK293_ControlsiRNASparse_rep1,ctrl
A375P cells expressing PGC1a shRNA 65,pert
14-week-old WT liver_464WT,ctrl
"Brain tissue from Fisher 344 male rat, Animal #253, 200mg/kg D-Serine",pert
A375P cells expressing PGC1a shRNA 66,pert
CD8+ T cells derived by negative selection from leukopheresed blood sample,ctrl
NB60,ctrl
RNA from whole tissue section of case 662 labeled with Cy5,pert
"Brain tissue from Fisher 344 male rat, Animal #265, 20mg/kg D-Serine",pert
F1 ES Cells,pert
T3.02,pert
"Synovial biopsies (n = 4 to 6), obtained by needle arthroscopy from the swollen knee of a patient with lupus arthritis",pert
P2C Progranulin-hippocampus,pert
WT 3 Quadriceps,ctrl
"primary cortical neurons, MEF2A shRNA",pert
"DHL6, DMSO",ctrl
"Patient  J, lesion, 12 week",pert
CD4+/CD25- T effector cells 72h after activation,pert
coMCF-7_2,ctrl
"DBA/2J Saline treated, biological replicate 2",ctrl
"Cardiac, ventricular tissue",ctrl
CD34+ cells from the patient (CML33),pert
first-episode bipolar patient,pert
Sodium arsenite added to food: None; Injection: IP 8hr 1 mg/kg sodium arsenite in saline; Diet: AIN-76A; Sodium arsenite added to drinking water: None,pert
P28 testes,ctrl
microdissected epithelial cells from IPMC 1,pert
MMA wild type,ctrl
Kidney from mice treated with 7 daily iv injections of vancomycin at 400 mg/kg,pert
FoxO1 KO_VMH,pert
HEK cell lines non-expressing mutant channel,pert
Control 11 appendix,ctrl
Frozen disease-free lung tissue,ctrl
"Deltoid, FSHD, cohort 21, subject 21B",pert
BV2_Curcumin_rep2,pert
Vector Control Transfected 3T3 cells treated with DMSO for 24 h,ctrl
control KD mouse ES cells,ctrl
human CD14 positive monopcytes,ctrl
"Uninfected treated with 1,25D, replicate 1",pert
"SWR/J Saline treated, biological replicate 3",ctrl
"MCF-7 cells, siERK2 treatment 60h, 0.1%EtOH for 4h",ctrl
myoblasts transduced with lentivirus carrying DUX4-s,pert
"Mouse, ATF6bKO, colon, UT, rep1",pert
Primary hepatocytes isolated from Donor 5 treated with Wy14643 for 6h,pert
Mouse soleus,ctrl
Zmpste24+/+ mouse embryonic fibroblasts (P3),ctrl
"Lung tissue of CD-1 wildtype mouse, smoke treated",ctrl
"Mouse embryonic stem cells, day 0, Alkb1-/-",pert
S4C Sporadic-hippocampus,ctrl
69A;pretreatment;female;breast tumor,ctrl
Bladder cancer cells,ctrl
CD46+/STAT1-KO hippo - Untreated-D,pert
monocytes_T14,pert
Knockout liver_saline-injected 12weeks repl1,pert
GIST882 Cell line,ctrl
skeletal muscle myoblast_WT_day0,ctrl
INS-1 cell line #2 with non-induced HNF6,ctrl
MPM tumor specimen 11,pert
"LCL GM19238, Kd E2F6, 72hrs",pert
"liver, Q10, 14 months",pert
liver_wildtype,ctrl
"heart, 30 months of age, resveratrol diet",pert
EPLM,pert
Huh7,ctrl
Dysf +/+ QF control mouse muscle,ctrl
"brain, motor cortex, layer 5 thick tufted pyramidal neurons, Mecp2 null",pert
E14.5 Tgfbr2fl/fl Wildtype Mouse Model Palate,ctrl
Igf1 +/+ mouse vestibular organs at embrionic stage E18.5,ctrl
Cervical cancer_CC222,pert
erythroblast transduced with empty vector,ctrl
"NB4 cell line, TG2 knockout, ATRA, 48hr",pert
Total RNA from WT ESCs,ctrl
Insm1 control #8_pituitary gland,ctrl
MPM tumor specimen 42,pert
A2CNT1,ctrl
Gingiva tissue,ctrl
Treg cells from Ptenfl/flFoxp3-Cre mouse,pert
"Patient  N, lesion, 4 week",pert
Cervical cancer_CaCx54,pert
Monocyte human familial combined hyperlipidemia after treatment with atorvastatin (ATV) sample,pert
14 Day Mouse Diaphragm muscle,pert
SCLC cell line MS-1,pert
CSTB KO_cerebellum at P30,ctrl
"GI_canc, Col1",pert
C2C12 MYOTUBES,ctrl
Knockout liver_saline-injected 12weeks repl3,pert
"primary fibroblasts expressing a shRNA construct targeting KDM4C, construct 2, clone 1",pert
scram_hi_8,ctrl
"liver, Q10, 6 months",pert
"Amniocytes, trisomy 21, 1573",pert
T117,pert
T1alpha (-/-) lung at birth (term),pert
Mus musculus embryonic stem cells derived from HDAC1 knock out embryos,pert
Mus musculus brain hemisphere,ctrl
HMEC culture,ctrl
SV589_NoKD,ctrl
"FACS-sorted cones, P60 C-DGCR8 KO mice",pert
Neurons overexpressing GFP,ctrl
hair follicles from wild-type,ctrl
Mock-treated MDA-MB-231,ctrl
murine colon epithelium,ctrl
Kidney tissue from obese rats on diet with rosiglitazone,pert
Treg cell,ctrl
"Patient  E, lesion, 2 week",pert
human skin biopsy,pert
liver_Akt1+/-_female_8wk_rep2,pert
Murine Lung,pert
SV589_3DayKD_SerumStarved->1hr EGF,pert
RNA from microdissected breast cancer cells from case 1125 labeled with Cy5,ctrl
Fibroblasts isolated from wild type mouse mammary glands,ctrl
HdhQ111/HdhQ111 cerebellum at 3~10 weeks biological rep 3,pert
"Right brain hemisphere ,C57BL male mouse,Clozapine treated,Orally,4 weeks",pert
"cerebellum,6weeks,KO",pert
Whole testis RNA from Crem-/- mouse #144 at 0h,pert
HCT116-Neo124 human colon cancer cells with intact PTEN,pert
mouse whole lung,pert
RNA from whole tissue section of case 687 labeled with Cy5,ctrl
SCLC cell line Lu-134a,pert
MPM tumor specimen 18,pert
LSK cell from Gfi1 knockout mice,pert
Mouse otic vesicle at E10.5 mut,pert
Normal Pleura 4,ctrl
HCC_27T,pert
"Gift Prof Dr Olivier De Wever, Ghent University Hospital, Ghent, Belgium)",pert
14 Day Mouse extraocular muscle,ctrl
Laser Capture Microdissected Serous Ovarian Cancer Epithelia,pert
12 h-apra-2 nM;HT-29;colorectal adenocarcinoma;apratoxi;24727,pert
"Cervical cancer cell line, C4-I",pert
"Whole blood - General population, Male",ctrl
RNA pool from untreated LCLs generated from ADHD patients,ctrl
MLL_00266,pert
P910,pert
PBMC GM T1,pert
"Lymphoblastoid cell lines derived from family 1734, member 1",ctrl
WT Primary Hepatocytes - Pooled -Cy3,pert
"rat hippocampus (combined dorsal and ventral apsects), aged control, subject 8",ctrl
Aquaporin-11+/+_mouse P7 kidney #1-1,ctrl
"0.5 mg/kg/ml Isoproterenol treatment, 72 hour time point,  biological rep 1",pert
gastrocnemus muscle,ctrl
