text,label
FCHL study,disease
Temporal Response of Rat Lung to Hemorrhage,disease
Fibronectin Induced Cardiac Myocyte Hypertrophy,disease
Induction of the IL-9 gene by HTLV-I Tax stimulates the spontaneous proliferation of primary adult T-cell leukemia cells,disease
Gene expression microarray profiles of cumulus cells in lean and overweight-obese polycystic ovary syndrome patients,disease
Cellular pathways involved in the adaptation and progression of motor neuron injury in the mouse model of familial ALS,disease
Chronic nicotine exposure (kuo-affy-human-232930),disease
Gene expression profiles during in vivo human rhinovirus infection: insights into the host response.,disease
Monocyte gene expression profiling in familial combined hyperlipidemia and its modification by atorvastatin treatment,disease
Unique Transcriptional Profile in Wrist Muscles From Cerebral Palsy Patients,disease
Skeletal muscles of untreated children with juvenile dermatomyositis,disease
mRNA expression profiling of nasopharyngeal carcinoma,disease
Laser capture microdissection of endothelial and neuronal cells from human dorsolateral prefrontal cortex,disease
Rp1 knockout mice retinal development,disease
Gene expression data of skin from psoriatic patients and normal controls,disease
breast cancer / tamoxifen monotherapy (whole tissue tumor biopsies),disease
"Extraocular and hindlimb muscle, comparison of wild type and mdx mice, 56 days (Porter lab)",disease
Postnatal developmental changes in Sprague-Dawley rats in the model of neuropathic pain 'spare nerve injury',disease
dermatomyositis,disease
Immunity and Defense Genes in Peripheral Blood Mononuclear Cells of Rheumatoid Arthritis patients,disease
Aortas of mice on high fat diet,disease
Gene expression signature predictive of rapid response to imatinib mesylate in Gastrointestinal Stromal Tumor (GIST),disease
Carious versus healthy pulp gene expression,disease
Expression profiling in Williams-Beuren Syndrome patient fibroblast cell lines,disease
Rat diaphyseal femoral fracture healing:  Plate fixation vs. intramedullary nail,disease
Vastus lateralis biopsies from healthy trained and sedentary males,disease
Testicular germ cell tumors and their histological subgroups,disease
Exercise and transcriptional analysis in male eNOS Knockout Mice,disease
Human Lung Transplant - BAL,disease
RAvs.ND,disease
Human Nephrosclerosis Triggers a Hypoxia-Related Glomerulopathy,disease
Gene expression in Cryptosporidium parvum-infected human ileocecal adenocarcinoma cells (HCT-8),disease
Hepatocellular carcinoma mouse model,disease
Gene expression profiles of interstitial lung disease (ILD) patients,disease
Mechanical Ventilation Augments LPS-induced Lung Injury,disease
Expression profiling of GATA-1 wild type and mutant fetal megakaryocytes,disease
Gene expression profile of tungstate-induced beta cell mass increase in STZ rats,disease
Novel Molecular Markers for non-melanoma skin cancer,disease
Reinnervation of rat muscle,disease
DRG from CCI and Seltzer models of neuropathic pain and sham operated animals,disease
CCSK,disease
The effect of FH mutations on fibroid expression profile 2.,disease
Expression data from affected skin from psoriasis mouse models and normal skin from control mice,disease
Neurofibromin (Nf1) is required for skeletal muscle development,disease
Gene expression Profiling of Peripheral Blood Leukocytes after Endotoxin Challenge in Humans,disease
Cystic Fibrosis Mouse Lung Profiles,disease
Comprehensive description of the transcriptome of hypothalamo-neurohypophyseal system in euhydrated and dehydrated rat,disease
Classification of carcinoma in situ lesions in human bladder cancer,disease
Murine Airway Hyperresponsiveness,disease
Novel genes associated with malignant melanoma but not benign melanocytic lesions,disease
Gene expression under normoxia/hypoxia in mouse embryonic fibroblasts with mutations in the CH1 domains of p300 and CBP,disease
Altered transcriptome in a motor system spared by ALS: protective vs. adaptive strategies,disease
Dilated Cardiomyopathy and Non Failing Septal Biopsies,disease
Transcriptional profiling in facioscapulohumeral muscular dystrophy to identify candidate biomarkers,disease
Gene profiling of primary cultures from human prostate tumors,disease
GAA deficiency (Pompe Disease) in infantile-onset patients,disease
Scd1 Knockout Mice on very low fat diet,disease
perro-affy-human-186940,disease
Ad vectors in C3KO mice,disease
Asthma,disease
Analysis of expression in SOD1 transgenic mouse spinal cord,disease
Whole-genome expression profiling of melanoma progression.,disease
mRNA expression in regenerated mdx mouse skeletal muscle,disease
Microarray Analysis of Differentially Expressed Genes in Placental Tissue of Severe Preeclampsia,disease
Expression data from C57BL/6 and MRL/MpJ heart left ventrical with LAD ligation,disease
Nef transfection of Jurkat T cells,disease
Expression data from WT mice and bitransgenic Pdx1-cre/Kras*A mice bearing Pancreatic Ductal Adenocarcinoma,disease
"Human ischemic cardiomyopathy, idiopathic cardiomyopathy, and nonfailing controls",disease
Gene Expression Profiling of Familial and Sporadic Cases of Interstitial Pneumonia,disease
Expression data from T-cell prolymphocytic leukemia (TPLL) and normal T cells,disease
Expression data from quadriceps muscle of young DMD patients and age matched controls,disease
Monocytes of patients with familial hypercholesterolemia show alterations in cholesterol metabolism,disease
Imprints of atherosclerosis are present in circulating T cells of patients with Familial Hypercholesterolemia,disease
Expression data from murine BRD2-mediated lymphomas,disease
Gene expression time-course in the human skin during elicitation of allergic contact dermatitis,disease
Kidney expression,disease
LPS timecourse,disease
Blood pulmonary arterial hypertension,disease
Gene expression profiles of lymphoblastoid cells,disease
Mutant SOD1 rats (lobsi-affy-rat-194438),disease
MRI lytic and no lytic lesions,disease
Control vs CF Small Intestine,disease
Activation of MAPK pathways links LMNA mutations to cardiomyopathy in Emery-Dreifuss muscular dystrophy,disease
Control LG vs Px LG,disease
Expression profiles of extremely low gestational age newborns as predictors of BPD,disease
Nrf2 Knockout vs. Wildtype mice,disease
Validation of Genome-wide Expression patterns in Pediatric Septic Shock,disease
Gene expression in immortalized B-lymphocytes derived from patients with multiple sclerosis,disease
Microarray Analysis of Treacher Collins Syndrome,disease
Expression data from human peripheral blood subsets,disease
Integrative Transcriptome Analysis Reveals Common Molecular Subtypes of Human Hepatocellular Carcinoma (HT-HG_U133A),disease
Colon biopsies from UC patients and healthy controls,disease
NINDS Rat Hippocampus Seizures,disease
Gene expression analysis of macrophages from ankylosing spondylitis patients reveals interferon-gamma dysregulation,disease
Expression data from biopsies of Nasopharyngeal carcinoma (NPC) and non-malignant controls,disease
LCCS vs control comparison,disease
Type I Interferon: Potential Therapeutic Target for Psoriasis?,disease
Whole brain gene expression in X-monosomic and normal female mice,disease
Chondrogenic differentiation potential of OA chondrocytes and their use in autologous chondrocyte transplantation,disease
Time series of diabetes and exercise training induced expression changes in skeletal muscle of mice,disease
Pancreatic cancer circulating tumor cells express a cell motility gene signature that predicts survival after surgery,disease
DECREASED FIBRONECTIN PRODUCTION SIGNIFICANTLY CONTRIBUTES TO DYSREGULATED REPAIR OF ASTHMATIC EPITHELIUM,disease
Rheumatoid arthritis,disease
Expression data from bone marrow CD34+ cells of MDS patients and healthy controls,disease
MI: 1 and 7 days post-op,disease
Expression data from epithelial cells during the process of multistep pancreatic carcinogenesis,disease
Differential Expression of Ove26(Diabetic) vs FVB(Nondiabetic) mice,disease
The Effect of Hepatitis C Virus Infection on Host Gene Expression,disease
