text,label
Array Type: Rat230_2;	Amount to Core: 15;	Units of Amount: ul;	OD260: 1.743;	OD280: 0.932;	Ratio: 1.84;	Dilution: 1:5;	RNA Integrity Number: 8.8;	Bioanalyzer Results: Good;	Sample Preservation: Cells resuspended in RNAlater and stored at 4 degrees Centigrade;	Strain or Line: F344/NCrl;	NCBI Taxonomy ID: 10116;	Individual: 65;	Developmental State: Adult;	Sacrifice Method: Deep pentobarbital anesthesia followed by exsanguination;	Sex: Male;	Units of Age: weeks,ctrl
Cbx2_KO_XY_2,pert
"patient: 227;	current medication: Asacol Prednisolone 5 Omeprazole Warfarin Cal VitD;	birth date: 4/17/28;	gender: M;	ethnicity: CAUCASIAN;	symptoms onset date: 1/1/90;	diagnosis date: 1/1/90;	joint problems: FALSE;	uc flare up: FALSE;	family history: FALSE;	aza treated: NO;	aza tolerant: FALSE;	aza at present: FALSE;	procedure date: 1/14/05;	indictation for procedure: ;	ucss: 3;	calprotectin: 0;	esr: 0;	crp: 0;	hb: 0;	wcc: 0;	neutrophils: 0;	albumin: 0;	blood obtained: TRUE;	ibd affected relatives: 0;	igr2096: ;	igr2198: ;	igr2230: ;	octn1: ;	octn2: ;	nod 702: ;	nod 908: ;	dlg5 133a: ;	nod 1007 fs: ;	diagnosis rectum: BOTH;	diagnosis recto sigmoid: BOTH;	diagnosis splen flex: BOTH;	diagnosis hep flex: BOTH;	diagnosis total: BOTH;	last followup date: 1/14/05;	followup rectum: BOTH;	followup recto sigmoid: BOTH;	followup splen flex: BOTH;	followup hep flex: BOTH;	followup total: BOTH;	casenote review date: 3/7/05;	category: FAILURE OF THERAPY;	smoking status: ex;	smoking start date: ;	smoking stop date: 1/1/72;	smoking amount: 5-14;	other illnesses: Prostate cancer 1985, Previous DVT's on warfarin;	disease: UC;	run_date: 8-9-01;	anatomic_location: ascending colon;	inflammation_status: Inflamed",pert
Male Sprague-Dawley (Crl:CD(SD)IGS Br;	Age: between 5 and 6 weeks old,pert
striatum_Pink1 knockout_12 weeks_replicate 2,pert
"seminoma specimen, pT1, patient age: 40y; W00 047",pert
strain: mixed C57BL6;	genotype/variation: Rptrflox/flox;Pax7CreER/+;Rosa26REYFP/+;	age: 3-5 months old;	treatment: BaCl2 muscle injury;	tissue: hindlimb muscle contralateral to BaCl2 muscle injury;	cell type: CSC;	time: 2.5 days post injury,pert
"ME16C, 12h, sham",ctrl
IFC 02,pert
"Sfrp5 KO HFD 8 weeks, biological rep8",pert
cell type: peripheral blood mononuclear cell (PBMC);	disease status: healthy,ctrl
Bone marrow-derived macrophages from mice deficient in signaling adaptor molecule MyD88,pert
A673 cell line that has been treated with cytarabine (ARA-C) for 24 hours with concentration of 0.17 uM (EC50).,pert
Osteoblasts_Lrp5_Control_Day7_rep3,ctrl
phenotype: alcoholic;	gender: female;	case_id: 304;	age: 58;	tissue: postmortem hippocampus;	cirrhosis: Y;	smoker: Yes;	post-mortem-interval (hrs): 58.5;	brain ph at time of freezing: 6.4;	labeling_batch: 1,pert
"2102Ep cells SOX2 siRNA, biological replicate 1",pert
cell line: um-uc-3 (atcc# crl-1749);	cell type: bladder cancer cells;	genotype/variation: transfected with gfp-tagged rhogdi2,pert
PFR3_replicate_1,ctrl
strain: C57BL/6J;	day: 12;	drug: Methamphetamine;	phase: Drug treatment;	tissue: striatum;	replicate: 3,pert
220D6,pert
1705-383_24hr,pert
"human nonfailing LV myocardium, NonFailing7",ctrl
knockdown: TNFa-OMe-P siRNA-C;	amplification date: 09/06/22;	hybridization date: 09/06/30;	colon length (mm): 6.1;	colon weight (mg): 159;	colon ratio (mg/mm): 2.607;	myeloperoxidase activity (u/mg): 0.477;	tissue: colon;	treatment: 5% DSS,pert
Pediatric_GBM_4,pert
healthy CD4 T cells 9,ctrl
19A;pretreatment;female;breast tumor; responder,ctrl
strain: 129P2 (formerly called 129/Ola);	tissue: embryoid bodies;	treatment: Day2 EBs induced with doxycycline and cultured for another 12h,pert
E81-/-SRFVP16-2,pert
cell type: dermal fibroblast;	genotype: CCALD patient,pert
Control_AF_4,ctrl
phenotype: alcoholic;	gender: male;	case_id: 256;	age: 37;	tissue: postmortem hippocampus;	cirrhosis: Y;	smoker: No;	post-mortem-interval (hrs): 17;	brain ph at time of freezing: 6.33;	labeling_batch: 2,pert
Bone-Marrow_MGUS_G1702,pert
siControl_5,ctrl
"fibroblast, control subject NM5 rep 1",ctrl
11: FCHL patient #99-0308,pert
"knockout liver, biological rep 1",pert
tissue: Biceps muscle;	patient: C.b.5;	diagnosis: Control;	treatment: None;	treatment time (rhgaa): --;	gender: F;	age at baseline: 2y;	motor status (52 weeks treatment): --;	change in glycogen content (52 weeks treatment): --;	response: --,ctrl
57A;pretreatment;female;breast tumor,ctrl
HF0510_U133P2,pert
Shn2_Mutant_1,pert
Pool 4 Convalescent stage,pert
microdissected breast cancer cells from case 1363,ctrl
MOLM14_luc_Replicate3,ctrl
"fibroblast, control subject NM10 rep 2",ctrl
genotype: WT;	strain: C57BL/6;	treatment: regular diet,ctrl
"fibroblast, MFS subject FB969 rep 5",pert
"brain, Entorhinal Cortex: 99-28 normal_e1_le1",ctrl
CF (D508) subject7,pert
strain: C57BL/6;	gender: Female;	age: 7 weeks old;	cell type: CD4 positive T cell;	treatment: unstimulated;	genotype: WT,ctrl
"normal skeletal muscle, biological rep5",ctrl
E14 molar DMSO 1,ctrl
SLE CD4 T cells 14,pert
cumulus_PCOS_Lean_rep1,pert
Nrl-ko-Gfp 4 weeks replicate 4,ctrl
4 h,pert
CLL5-CD4,pert
Dengue Fever Patient 42,pert
C57BL10 soleus sample 2,ctrl
Wild type saline rep2,ctrl
Zfx-flox TC1 ESC;	Cultured in 15% KO + LIF without feeders,ctrl
EGF 12h replicate 1,pert
MDS11,pert
A375 cells 24h Vemurafenib rep1,pert
42A;pretreatment;female;breast tumor; nonresponder,ctrl
normal 1112,ctrl
LOX1 Untreated 2hr 282295553,pert
duration of untreated disease in month:8.5;	age at onset:4.5,pert
01-0044A_Day1_3,pert
Sample 1 Posterior  -/-,pert
HCT116_shBgal-rep1,ctrl
control participant P327,ctrl
"human failing LV myocardium, Ischemic47",pert
"Acute Myeloid Leukemia, sample 30",ctrl
"wildtype pancreas, biological rep1",ctrl
tissue: white blood cells;	age: 9.84;	Sex: male,pert
scrambled biological rep2,ctrl
Epididymal adipose WT ND #686,ctrl
Dilated cardiomyopathy_G54,pert
"brain, hippocampus: Ctr-24h-P15-II_e1_le1",ctrl
"vector d0, rep 2",ctrl
"Spi-21, biological rep 6",pert
IM122_case,pert
Patient: A;	Time: 4 weeks;	Group: responder;	Condition: lesional,pert
gender: F;	age at blood draw: 55;	tissue: whole blood,pert
"205, MUSCLE, Before",ctrl
Large cell carcinoma 015,pert
R3,pert
"affected status (disease state): control;	gender: male;	age-at-examination: 69;	age-at-onset: n/a;	geographical origin: Vila-Real;	lifestyle characteristics: ever smoker, ever drinker",ctrl
BMM_BalbC_time0h,ctrl
treatment: siRNA LMG2,pert
KU_01T,pert
Kidney_Aqp11+/+_P7_4-2,ctrl
shRNA2-4-noDox-rep1,pert
"mouse aorta cross strain comparison, C3H_T04_NC_03",ctrl
"fibroblast, control subject NF6 rep 4",ctrl
V5-P051,pert
"FA6 transiently transfected with non-targeting siRNA, transfection C",ctrl
BCell_lymphoma_marginal_sample6,pert
age: 6 month postnatal;	tissue: cerebellum;	genotype: wild type (129S6/SvEvTac),ctrl
cDNA ak 04,pert
"ALL_NDS, K33 011609",ctrl
tissue: primary unilateral non-metastatic postmenopausal ERα-positive breast tumor;	gender: woman;	age: 78 years,ctrl
lymphoma_5783_ADR,pert
med2d_1,pert
chip number: 12;	transfection plate: 3B;	target gene: YY1;	kd level: 0.66;	rin: 9.6;	transfection date: 2012-03-26,pert
Cerebellum_transgenic nuclear localization signal Htt exon1 142Q S46_3 months_replicate 3,pert
retina_DBA_543L_8mo_rep1,pert
cell line: H1;	cell type: human embyronic stem cells (hESCs);	treatment: SOX2 shRNA;	time: day 4,pert
T146 U133p2,pert
"Untreated TG2 knockout NB4, biological rep3",ctrl
PKBa-/- MEF time 2 replicate 1,pert
tissue: Brain;	genotype: Npc1+/+;	age: 60 days;	subject: Mouse1;	genetic background: BALB/c,ctrl
cell type: Peripheral blood leukocytes;	strain: DBA/2,ctrl
Normal mucosa 20,ctrl
"Acute Myeloid Leukemia, sample 62",pert
striatum SNCA knockout 6 month replicate 3,ctrl
IM46_control,ctrl
HDAC1_G10-rep2,pert
D_Ctrl_1,ctrl
mef2a_2,pert
P60 Vax2-/- 2,pert
cell line: A2780;	cell type: ovarian cancer cell line;	treatment: Cisplatin;	batch: 1,pert
Expression data from liver of the KRAP deficient mice (KO1),pert
Disease_status: Healthy control;	Age (years): 32;	Gender: Male;	Age of onset (years): N/A;	Duration of illness (years): N/A;	Brain pH: 7.03;	Post mortem interval (hours): 24;	Side of brain: Left;	Fluphenazine mg. Equivalents: N/A;	Lithium treatment: N/A;	Valproate treatment: N/A;	Electroconvulsive therapy: N/A;	Suicide: No;	Drug abuse (ratings scale: 0 (no use) to 5 (heavy use)): 0;	Alcohol abuse (ratings scale: 0 (no use) to 6 (heavy use)): 2,pert
HeLa SCY1-like 1 knock down 1,pert
14-week-old WT liver_464WT,ctrl
"MCF7/BUS, 30 pM E2, 48 hours, biological replication 5",pert
disease state: Control;	cell type: Fresh Bronchial Epithelial Cells;	gender: male;	age: 23.9589,ctrl
cell line: GIST882;	agent: Imatinib;	dose: 1μM;	replicate: Rep3,pert
umbilical cord_bpd: 5B,pert
Individual_4368_PP_sample,pert
NPC18,pert
M24met_Wnt1_5,pert
Healthy controls; individual=CM; time=2; beverage=alcohol,pert
"C57BL/10 TA, replicate 1",ctrl
Tendon_lesional_rep12,pert
Run1.a10a.000608jd.2.SkMNor924.CEL-IS stimulate,pert
tissue: leukocytes from whole blood;	genotype: control subject;	age: 26;	gender: male,ctrl
siERK2Veh24h_3500,ctrl
"Runx1KO, biological replicate 2",pert
scan batch: Batch 2;	group: control;	subject age: 6;	paternal age: 29;	maternal age: 30,ctrl
"Wild type used for MAT1A 8 month, replicate 4",ctrl
Liver_untreated_wild type_rep2,ctrl
"Gender: female, Age: 37 years, Tissue: normal vulva,",ctrl
"Normal T-cells, CD3+, donor 8",ctrl
liver_co_6M_rep3,ctrl
suppressed induction of AICD,ctrl
MO32_12,ctrl
WT_PLACEBO_12hours_4,ctrl
"Autoimmune pancreatic islets before cyclophosphamide treatment, rep 4",ctrl
Pool 3 Acute stage,ctrl
HF0670_U133P2,pert
