text,label
FCHL study,pert
Temporal Response of Rat Lung to Hemorrhage,pert
Fibronectin Induced Cardiac Myocyte Hypertrophy,pert
Induction of the IL-9 gene by HTLV-I Tax stimulates the spontaneous proliferation of primary adult T-cell leukemia cells,pert
Gene expression microarray profiles of cumulus cells in lean and overweight-obese polycystic ovary syndrome patients,pert
Cellular pathways involved in the adaptation and progression of motor neuron injury in the mouse model of familial ALS,pert
Chronic nicotine exposure (kuo-affy-human-232930),pert
Gene expression profiles during in vivo human rhinovirus infection: insights into the host response.,pert
Monocyte gene expression profiling in familial combined hyperlipidemia and its modification by atorvastatin treatment,pert
Unique Transcriptional Profile in Wrist Muscles From Cerebral Palsy Patients,pert
Skeletal muscles of untreated children with juvenile dermatomyositis,pert
mRNA expression profiling of nasopharyngeal carcinoma,pert
Laser capture microdissection of endothelial and neuronal cells from human dorsolateral prefrontal cortex,pert
Rp1 knockout mice retinal development,pert
Gene expression data of skin from psoriatic patients and normal controls,pert
breast cancer / tamoxifen monotherapy (whole tissue tumor biopsies),pert
"Extraocular and hindlimb muscle, comparison of wild type and mdx mice, 56 days (Porter lab)",pert
Postnatal developmental changes in Sprague-Dawley rats in the model of neuropathic pain 'spare nerve injury',pert
dermatomyositis,pert
Immunity and Defense Genes in Peripheral Blood Mononuclear Cells of Rheumatoid Arthritis patients,pert
Aortas of mice on high fat diet,pert
Gene expression signature predictive of rapid response to imatinib mesylate in Gastrointestinal Stromal Tumor (GIST),pert
Carious versus healthy pulp gene expression,pert
Expression profiling in Williams-Beuren Syndrome patient fibroblast cell lines,pert
Rat diaphyseal femoral fracture healing:  Plate fixation vs. intramedullary nail,pert
Vastus lateralis biopsies from healthy trained and sedentary males,pert
Testicular germ cell tumors and their histological subgroups,pert
Exercise and transcriptional analysis in male eNOS Knockout Mice,pert
Human Lung Transplant - BAL,pert
RAvs.ND,pert
Human Nephrosclerosis Triggers a Hypoxia-Related Glomerulopathy,pert
Gene expression in Cryptosporidium parvum-infected human ileocecal adenocarcinoma cells (HCT-8),pert
Hepatocellular carcinoma mouse model,pert
Gene expression profiles of interstitial lung disease (ILD) patients,pert
Mechanical Ventilation Augments LPS-induced Lung Injury,pert
Expression profiling of GATA-1 wild type and mutant fetal megakaryocytes,pert
Gene expression profile of tungstate-induced beta cell mass increase in STZ rats,pert
Novel Molecular Markers for non-melanoma skin cancer,pert
Reinnervation of rat muscle,pert
DRG from CCI and Seltzer models of neuropathic pain and sham operated animals,pert
CCSK,pert
The effect of FH mutations on fibroid expression profile 2.,pert
Expression data from affected skin from psoriasis mouse models and normal skin from control mice,pert
