text,label
RNA samples prepared from lymphoblastic cells or cell lines from normal and FCHL (familial combined hyperlipemia) patients;	Keywords: other,disease
"Male Sprague-Dawley rats weighing 280-300 g were anesthetized with 1.75% to 2.5% isofluorane and instrumented with two arterial catheters, one externalized for blood withdrawal and the other (not externalized) attached to the Data Sciences International (DSI) PhysioTel (St. Paul, MN, model C50-PXT) monitoring device placed intraperitoneally and used in monitoring blood pressure, temperature, and electrocardiogram data via telemetry.  After 7 to 10 days of recovery, and only after the animals had begun to gain weight, the experiment was performed.  At the beginning of hemorrhage (H), blood was withdrawn manually through the externalized catheter with 1-ml syringes at l ml/min.  Total blood volume was estimated to be 6.5% of the body weight and 40% of this (2.6 ml/100g) was removed to effect the hemorrhage.;	Control animals (Con) were uninstrumented and were not hemorrhaged or manipulated in any way. Sham (Sh) rats were instrumented, but not hemorrhaged, and physiologic measures were taken for 4 – 23 hrs 6 hrs prior to euthanasia. At 1, 3, 6, 16, 24, 48, or 72 hours (H) after hemorrhage animals were deeply anesthetized with Nembutal (50 mg/kg), and the post hemorrhage blood sample was collected by cardiac puncture and the animals were euthanized by exsanguination.  All tissues were collected within 10 minutes of death and 100 mg amounts of the following tissues were removed and placed in RNALater™  (Ambion, Austin, TX):  intestine, liver, lung, kidney, spleen, heart, skeletal muscle (gastrocnemius) skin, and brain.;	Total RNA was isolated from each tissue from each animal with 2 rounds of TRI Reagent® (MRC, Cincinnati, OH) and its quality analyzed by gel electrophoresis.  A reference preparation consisting of equal amounts of RNA pooled from 10 organs (liver, lung, kidney, spleen, heart, skeletal muscle, skin, jejunum, and brain) of untreated control animals was used as reference RNA.  Five-µg samples exhibiting undegraded RNA from each rat lung were reverse transcribed with Superscript II™ (Invitrogen Corp., Carlsbad, CA) in the presence of a C-6 amine modified random hexamer and aminoallodeoxyuridine to produce fluorescent labeled cDNA.  RNA from the reference preparation was all labeled together.  Following reverse transcription, RNA was degraded with 0.1 M NaOH and neutralized with ph 7.0 Hepes buffer.  Following isolation on Qiaquick columns (Qiagen), elution and lyophilization, the lung-sample was labeled with Cy5 ester and reference cDNA samples with Cy3 ester (Amersham Biotech, Piscataway, NJ) After separation from unbound dye, the samples were again lyophilized and then reconstituted in hybridization solution (32% formamide, 5 X Denhardt's solutions, 3X SSC, 20 mM Hepes buffer, ph 7.0)  for 20 hrs at 42 degree. Following hybridization on a microarray (one per rat) and washing to remove unhybridized cDNA and scanning with an Axon 4000B (Axon Instruments, Union City, CA) at 10 micron resolution, the resulting 16-bit TIFF images were analyzed with GenePix 4.1 software (Axon Instruments) for calculation of Cy5 and Cy3 fluorescence intensities at each spot.;	Keywords: time-course",disease
Gene expression changes in neonatal rat ventricular myocytes plated in fibronectin (2 samples) or uncoated plates (2 samples).;	Keywords = Hypertrophy Cardiac Myocyte Fibronectin;	Keywords: repeat sample,disease
"The mechanism whereby IL-9 stimulated monocytes, promote proliferation of co-cultured ATL cells remains undefined. To obtain preliminary clues concerning this contribution, transcription profiles were obtained between monocytes derived from ATL patients and those derived from healthy donors as assessed by cDNA microarray.;	Keywords: disease state design",disease
"Objective: The etiology of PCOS is mostly unknown. Existing data support both genetic and environmental factors in its pathogenesis.  Design: Prospective case - control study. Setting: University Hospital. Patients:  25 patients undergoing IVF-ICSI treatment.  Intervention: Genome-wide oligonucleotide microarray technology was used to study differential gene-expression patterns of cultured human cumulus cells from IVF patients divided into 4 groups according to disease state (PCOS vs. Control) and BMI (Obese vs. Lean).  Results: Two differential PCOS gene expression profiles were established: Lean-Type was formed by comparing PCOS lean (PL) vs. non-PCOS lean (NL) individuals; Obese-Type was formed by comparing PCOS obese (PO) vs. non-PCOS (NO) obese patients.   Conclusions:  Different molecular pathways are associated with PCOS in Lean and Obese individuals, as demonstrated by gene expression profiling of cumulus cells. Our findings provide insights into the molecular pathogenesis of PCOS.;	We used microarrays to study the gene expression of human cultured cumulus cells. We  compared the genes expression of lean PCOS,  Obese PCOS, lean controls and obese controls. Different molecular pathways are associated with PCOS in Lean and Obese patients.;	Keywords: disease state analysis",disease
"Microarray analysis has been applied to the study of ALS in order to investigate gene expression in whole spinal cord homogenates of SOD1 G93A mice and human ALS cases, although the massive presence of glial cells and inflammatory factors has made it difficult to define which gene expression changes were motor neuron specific. Recently, laser capture microdissection (LCM), combined with microarray analysis, has allowed the identification of motor neuron specific changes in gene expression in human ALS cases.;	The aim of the present study is to combine LCM and microarray analysis to study how motor neurons in the spinal cord of transgenic SOD1 G93A mice and transgenic SOD1 WT respond to stimuli determined by the presence of the human mutant protein throughout the evolution of the stages in motor neuron injury;	Keywords: Murine motor neurons",disease
"The long-term goal of this project is to establish whether and how chronic nicotine exposure affects nervous system function.  The biological targets of nicotine action are diverse members of the superfamily of neurotransmitter-gated ion channels called nicotinic acetylcholine receptors (nAChR).  nAChR play multiple, critical roles in chemical signaling throughout the brain and body.  They also must be involved in nicotine dependence, which drives tobacco product use responsible for tremendous economic and personal costs.;	To define changes in gene expression induced by nicotine exposure in a model neuronal cell lines expressing at least two nicotinic receptor subtypes.;	Nicotine exposure exerst at least some of its effects on nervous system function by altering gene expression.;	Cells of the SH-SY5Y human neuroblastoma will be exposed to an efficacious dose of nicotine or to control medium for two different periods.;	Keywords: time-course",disease
"RATIONALE: Human rhinovirus infections cause colds and trigger exacerbations of lower airway diseases. OBJECTIVES: To define changes in gene expression profiles during in vivo rhinovirus infections. METHODS: Nasal epithelial scrapings were obtained before and during experimental rhinovirus infection, and gene expression was evaluated by microarray. Naturally acquired rhinovirus infections, cultured human epithelial cells, and short interfering RNA knockdown were used to further evaluate the role of viperin in rhinovirus infections. MEASUREMENTS AND MAIN RESULTS: Symptom scores and viral titers were measured in subjects inoculated with rhinovirus or sham control, and changes in gene expression were assessed 8 and 48 hours after inoculation. Real-time reverse transcription-polymerase chain reaction for viperin and rhinoviruses was used in naturally acquired infections, and viperin mRNA levels and viral titers were measured in cultured cells. Rhinovirus-induced changes in gene expression were not observed 8 hours after viral infection, but 11,887 gene transcripts were significantly altered in scrapings obtained 2 days postinoculation. Major groups of up-regulated genes included chemokines, signaling molecules, interferon-responsive genes, and antivirals. Viperin expression was further examined and also was increased in naturally acquired rhinovirus infections, as well as in cultured human epithelial cells infected with intact, but not replication-deficient, rhinovirus. Knockdown of viperin with short interfering RNA increased rhinovirus replication in infected epithelial cells. CONCLUSIONS: Rhinovirus infection significantly alters the expression of many genes associated with the immune response, including chemokines and antivirals. The data obtained provide insights into the host response to rhinovirus infection and identify potential novel targets for further evaluation.;	",disease
"Introduction: The genetic origin of familial combined hyperlipidemia (FCH) is not well understood. We used microarray profiling of peripheral blood monocytes to search  novel genes and pathways involved in FCH. Methods: Fasting plasma for determination of lipid profiles, inflammatory molecules, and adipokines was obtained and peripheral blood monocytes were isolated from male FCH patients basally and after 4 weeks of atorvastatin treatment. Sex-, age- and adiposity-matched controls were also studied. Gene expression profile was analyzed using Affymetrix Human Genome U133A 2.0 GeneChip arrays. Results: Analysis of gene expression by cDNA microarrays showed that 82 genes were differentially expressed in FCH monocytes compared to controls. Atorvastatin treatment modified the expression of 87 genes. Changes in the expression of some genes, confirmed by real time RT-PCR, (CD36, leucine-rich repeats and immunoglobulin-like domains-1, tissue factor pathway inhibitor 2, myeloid cell nuclear differentiation antigen tumor necrosis factor receptor superfamily, member 25 and CD96) may be related to a proinflammatory environment in FCH monocytes, which is partially reversed by atorvastatin. Higher plasma levels of triglycerides and free fatty acids and lower levels of adiponectin in FCH patients could also trigger changes in gene expression that atorvastatin cannot modify. Conclusions: Our results demonstrate clear differences in gene expression in FCH monocytes compared with those of matched healthy controls, some of which are influenced by atorvastatin treatment.;	Keywords: comparative study differential gene expression",disease
"Cerebral palsy is caused be an upper motor neuron lesion which casues spasticity as well as secondary effects on muscle .  Muscle from cerebral palsy patients is has been shown to be smaller, with more ECM and longer sarcomere lengths;	We used microarrays to globally investigate the transcriptional adaptations of cerebral palsy muscle and research which muscle pathways are altered in the diseased state;	;	Keywords: Disease state analysis",disease
