text,label
SAMPLE 5;	Replicate 1 of 4.,pert
replicate 1;	LICR_HN2_PBS2,ctrl
"Winnie mouse is a C57BL/6 strain from a N-ethyl-N-nitrosourea (ENU)-treated C57BL/6 founder line. It carries a unique missense mutation (G9492A, Accession AJ511872) resulting in a cysteine to tyrosine substitution in the D3-domain at the N-terminus of Mucin2 (Muc2).",pert
Array Type: Rat230_2;	Amount to Core: 15;	Units of Amount: ul;	OD260: 1.743;	OD280: 0.932;	Ratio: 1.84;	Dilution: 1:5;	RNA Integrity Number: 8.8;	Bioanalyzer Results: Good;	Sample Preservation: Cells resuspended in RNAlater and stored at 4 degrees Centigrade;	Strain or Line: F344/NCrl;	NCBI Taxonomy ID: 10116;	Individual: 65;	Developmental State: Adult;	Sacrifice Method: Deep pentobarbital anesthesia followed by exsanguination;	Sex: Male;	Units of Age: weeks,ctrl
Rats were sacrificed six hours after the injection with methylprednisolone,pert
Replicate 1;	6303256037_G,pert
"patient: 227;	current medication: Asacol Prednisolone 5 Omeprazole Warfarin Cal VitD;	birth date: 4/17/28;	gender: M;	ethnicity: CAUCASIAN;	symptoms onset date: 1/1/90;	diagnosis date: 1/1/90;	joint problems: FALSE;	uc flare up: FALSE;	family history: FALSE;	aza treated: NO;	aza tolerant: FALSE;	aza at present: FALSE;	procedure date: 1/14/05;	indictation for procedure: ;	ucss: 3;	calprotectin: 0;	esr: 0;	crp: 0;	hb: 0;	wcc: 0;	neutrophils: 0;	albumin: 0;	blood obtained: TRUE;	ibd affected relatives: 0;	igr2096: ;	igr2198: ;	igr2230: ;	octn1: ;	octn2: ;	nod 702: ;	nod 908: ;	dlg5 133a: ;	nod 1007 fs: ;	diagnosis rectum: BOTH;	diagnosis recto sigmoid: BOTH;	diagnosis splen flex: BOTH;	diagnosis hep flex: BOTH;	diagnosis total: BOTH;	last followup date: 1/14/05;	followup rectum: BOTH;	followup recto sigmoid: BOTH;	followup splen flex: BOTH;	followup hep flex: BOTH;	followup total: BOTH;	casenote review date: 3/7/05;	category: FAILURE OF THERAPY;	smoking status: ex;	smoking start date: ;	smoking stop date: 1/1/72;	smoking amount: 5-14;	other illnesses: Prostate cancer 1985, Previous DVT's on warfarin;	disease: UC;	run_date: 8-9-01;	anatomic_location: ascending colon;	inflammation_status: Inflamed",pert
"Gene expression data from Vehicle treated, DAY 6, biological rep.2, MV4-11 cells",ctrl
EB_0_5d_62_Formaldehyde_RatNasal_Rat230_2_CIIT05024,ctrl
Male Sprague-Dawley (Crl:CD(SD)IGS Br;	Age: between 5 and 6 weeks old,pert
strain: mixed C57BL6;	genotype/variation: Rptrflox/flox;Pax7CreER/+;Rosa26REYFP/+;	age: 3-5 months old;	treatment: BaCl2 muscle injury;	tissue: hindlimb muscle contralateral to BaCl2 muscle injury;	cell type: CSC;	time: 2.5 days post injury,pert
cell type: peripheral blood mononuclear cell (PBMC);	disease status: healthy,ctrl
peripheral blood cell,pert
Bone marrow-derived macrophages from mice deficient in signaling adaptor molecule MyD88,pert
A673 cell line that has been treated with cytarabine (ARA-C) for 24 hours with concentration of 0.17 uM (EC50).,pert
Sample name: OLD-Wt_NR-21;	Streptavidin-Cy3 bound to biotin-labeled cRNA.,pert
phenotype: alcoholic;	gender: female;	case_id: 304;	age: 58;	tissue: postmortem hippocampus;	cirrhosis: Y;	smoker: Yes;	post-mortem-interval (hrs): 58.5;	brain ph at time of freezing: 6.4;	labeling_batch: 1,pert
Colonic mucosal endoscopic pinch biopsy,pert
cell line: um-uc-3 (atcc# crl-1749);	cell type: bladder cancer cells;	genotype/variation: transfected with gfp-tagged rhogdi2,pert
strain: C57BL/6J;	day: 12;	drug: Methamphetamine;	phase: Drug treatment;	tissue: striatum;	replicate: 3,pert
AML_15,pert
"Polyamide 1 treated LNCaP cells not stimulated with DHT, biological replicate 1",ctrl
PBMCs from Crohn's Disease subject;	Subject Disease : Crohn's Disease;	Subject Age : 56;	Subject Race : CAUCASIAN;	Subject Gender : FEMALE,pert
Gene expression data from endocrine resistant breast cancer cell line LY4,pert
Lacrimal Gland,pert
strain: 129P2 (formerly called 129/Ola);	tissue: embryoid bodies;	treatment: Day2 EBs induced with doxycycline and cultured for another 12h,pert
"YFP+ cells marking precardiac mesoderm were FACS-sorted (w/wo stabilized Beta-catenin), and their total RNA was isolated, amplified and labeled with the NUGENE pico kit for microarray analyses. Mutant samples were obtained from YFP+ cells isolated from embryos with Isl1-cre, Rosa-YFP, Beta-catenin (loxP ex3). The mutants are conditional knockout mouse embryos that activates stable Beta-catenin in cardiac progenitors.",ctrl
"Diabetic (STZ) rats were maintained during 5-6 weeks, without observing any variation in its hyperglycaemia;	Keywords = pancreas regeneration;	Keywords = STZ;	Keywords = diabetes;	Keywords = tungstate;	Keywords = insulin-like agents;	Keywords = beta cell plasticity;	Keywords = neogenesis",pert
cell type: dermal fibroblast;	genotype: CCALD patient,pert
WT1(-KTS) expression was induced for 4hrs and the expression profile of each time-points was compared to the uninduced sample (0 hr).,ctrl
phenotype: alcoholic;	gender: male;	case_id: 256;	age: 37;	tissue: postmortem hippocampus;	cirrhosis: Y;	smoker: No;	post-mortem-interval (hrs): 17;	brain ph at time of freezing: 6.33;	labeling_batch: 2,pert
A2CKO1,pert
triplicate 2 of S. aureus infected HepG2 HIF-1-/- cells,pert
57A;pretreatment;female;breast tumor,ctrl
Replicate 3 GFP,ctrl
c-Met KO CD9+ trophoblasts,pert
tissue: Biceps muscle;	patient: C.b.5;	diagnosis: Control;	treatment: None;	treatment time (rhgaa): --;	gender: F;	age at baseline: 2y;	motor status (52 weeks treatment): --;	change in glycogen content (52 weeks treatment): --;	response: --,ctrl
