text,label
SAMPLE 5;	Replicate 1 of 4.,pert
replicate 1;	LICR_HN2_PBS2,ctrl
"Winnie mouse is a C57BL/6 strain from a N-ethyl-N-nitrosourea (ENU)-treated C57BL/6 founder line. It carries a unique missense mutation (G9492A, Accession AJ511872) resulting in a cysteine to tyrosine substitution in the D3-domain at the N-terminus of Mucin2 (Muc2).",pert
wild type mice TMJ-cartilage;	miosge_WT_Tal4_20110623_(MoGene-1_0-st-v1).rma-gene-default.chp;	miosge_WT_Tal4_20110623_(MoGene-1_0-st-v1).CEL,ctrl
Rats were sacrificed six hours after the injection with methylprednisolone,pert
Replicate 1;	6303256037_G,pert
SAMPLE 4;	replicate 1,pert
"Gene expression data from Vehicle treated, DAY 6, biological rep.2, MV4-11 cells",ctrl
prostate from PB-NICD model,pert
EB_0_5d_62_Formaldehyde_RatNasal_Rat230_2_CIIT05024,ctrl
NME2 induced A549 cell,pert
shCHK2-2_3,pert
peripheral blood cell,pert
Sample name: OLD-Wt_NR-21;	Streptavidin-Cy3 bound to biotin-labeled cRNA.,pert
"a time series of ConA injections was administered and  20 mg/kg ConA was injected through the mouse caudal vein at one of 4 time points (0 hr, 1 hr, 3 hr, 6 hr),here is  hepatic gene expression at ""1 hr"" (rep1)",pert
sample of actinic keratoses (ak_09+15):;	Keywords = Non-melanoma skin cancer;	Keywords = cDNA-microarray;	Keywords = expression profiling;	Keywords = expressed sequence tag (EST),pert
Pre-frontal cortex of male c57Bl/6 mice,ctrl
Colonic mucosal endoscopic pinch biopsy,pert
"n22, surgically resected from patient of gastric cancer.",ctrl
"HIV seropositive drug naïve group, viral load low;	Keywords = HIV, Human, PBMC, in vivo",pert
Hepatocitos.KO-2,pert
AML_15,pert
"Polyamide 1 treated LNCaP cells not stimulated with DHT, biological replicate 1",ctrl
PBMCs from Crohn's Disease subject;	Subject Disease : Crohn's Disease;	Subject Age : 56;	Subject Race : CAUCASIAN;	Subject Gender : FEMALE,pert
Gene expression data from endocrine resistant breast cancer cell line LY4,pert
Gene expression data from the heterozygous FH participant F,pert
Lacrimal Gland,pert
"YFP+ cells marking precardiac mesoderm were FACS-sorted (w/wo stabilized Beta-catenin), and their total RNA was isolated, amplified and labeled with the NUGENE pico kit for microarray analyses. Mutant samples were obtained from YFP+ cells isolated from embryos with Isl1-cre, Rosa-YFP, Beta-catenin (loxP ex3). The mutants are conditional knockout mouse embryos that activates stable Beta-catenin in cardiac progenitors.",ctrl
"Diabetic (STZ) rats were maintained during 5-6 weeks, without observing any variation in its hyperglycaemia;	Keywords = pancreas regeneration;	Keywords = STZ;	Keywords = diabetes;	Keywords = tungstate;	Keywords = insulin-like agents;	Keywords = beta cell plasticity;	Keywords = neogenesis",pert
Gene expression data from HaCaT cells at day 12 of calcium induced in-vitro differentiation,pert
Gene expression of -PancreaticSample14-Normal,ctrl
WT1(-KTS) expression was induced for 4hrs and the expression profile of each time-points was compared to the uninduced sample (0 hr).,ctrl
Gene expression data from A673 cell line that has been treated with Doxorubicin for 3 days with concentration of 119.76 nM (2 x EC50).,pert
A2CKO1,pert
The mRNA was collected from control rat liver (Sham),ctrl
triplicate 2 of S. aureus infected HepG2 HIF-1-/- cells,pert
57A;pretreatment;female;breast tumor,ctrl
Replicate 3 GFP,ctrl
c-Met KO CD9+ trophoblasts,pert
HOX424 Control Day1,ctrl
untreated; biological replicate 1,ctrl
"Transgenic for alpha tropomyosin slow, snap frozen, tibialis anterior muscle, 7month age animal",pert
D2-265-11M-T,pert
"wild type naïve CD4 positive cell, TCR-stimulated, replicate 4",ctrl
S3A,ctrl
Sample 23,pert
"whole-blood leukocytes, etanercept, 0hr",pert
SAMPLE 5;	replicate 2,ctrl
A2CKO2,pert
"embryo at P14, biological rep2",pert
RNA from microdissected breast cancer cells from case 651 labeled with Cy5,pert
Affymetrix;	GeneChip Expression Analysis;	Technical manual;	Rev 3,ctrl
Replicate 3;	7196763032_E,pert
liver_Wt_female_35wk_rep1,ctrl
GC_Gene1-0ST_GES12_38552_430-CNX-120323-24-39295_1.CEL,ctrl
pass 3 primary mefs,ctrl
RE1_H8_1389_U133Plus2.0.CEL;	Gene expression data from human breast cancer,pert
heart,ctrl
Gene expression data from 14dpp Ubb knockout testis.,pert
PancreaticSample30-Normal,ctrl
SMhu033;	Gene expression data from cultured ovarian cancer cell line.,ctrl
Mouse otic vesicle at E10.5 wt,ctrl
"Mice_c-myc trans, biological rep4",pert
C57BL/6J Mouse Male Kidney,ctrl
Macro-dissected renal cystic epithelial tissue from Fh1 knockout mouse,pert
quadriceps muscle tissue of normal controls,ctrl
Asp14 Clone of Ewing's sarcoma A673 cell line with doxycyclin  inducible EWS-FLI1 knockdown construct,pert
"THP-1 cell line infected with GSK3B Construct 1 shRNA, biological rep2;	Sample name: THP1_GSK3B_1-2;	CREME_p_KimSteg_June10_96HT_HT_HG-U133A_96-HTA_B08_596590.CEL",pert
C3H-HeJ mice were exposed to ozone. Lungs were removed-frozen in liquid nitrogen-RNA extraction.;	Lot batch =  ,pert
Normoxic untreated control for evaluation of hypoxic response in hepatocytes,pert
T178,pert
PBMC of Rhesus Macaque Mnk_3133-S-7,pert
US10053769_251485060532_S01_GE1_107_Sep09_1_2,ctrl
"C57BL/6J Acute morphine treated, striatum, biological replicate 3",pert
Pan21.CEL (unavailable due to loss from servers);	Pancreatic Tumor,pert
"Stage IVB, T3, N3, , G4",pert
gene expression data from primary fibroblasts expressing shRNA targeting KDM4C or a control constuct,pert
lymphoblast cell line,ctrl
"Lymphoblastoid cell lines derived from family 1743, member 2",pert
